S.No,reviews_list,Category,'Review type',,,,
778,'Good in quality and quantity','Food Taste',Positive,,,,
779,'All dishes taste were delicious','Food Taste',Positive,,,,
780,'Delicious Taste','Food Taste',Positive,,,,
781,'You can arrange small parties as well with your choice of arrangements.',Ambience,Positive,,,,
782,'Good Ambience and Amazing food',Ambience,Positive,,,,
783,'Waste of money','Value of Money','Negative ',,,,
784,'Taste was worst','Food Taste','Negative ',,,,
785,'Must try again, they have delicious food','Food Taste',Positive,,,
786,'Fries were cold and hard too ','Food Taste',Negative,,,,
787,'Great Taste','Food Taste',Positive,,,,
788,'Best Pizza','Food Taste',Positive,,,,
789,'Poor food quality & taste','Food Taste',Negative,,,,
790,'The best in taste','Food taste',Positive,,,,
791,'Best zinger','Food Taste',Positive,,,,
792,'Very disappointed','Food Taste',Negative,,,,
793,'Food taste was not good.','Food Taste',Negative,,,,
794,'Highly disappointed','Food Taste',Negative,,,,
795,'Yummlicious with cheese','Food Taste',Positive,,,,
796,'It was not cheesy anymore full of ketchup and mayo','Food Taste',Negative,,,,
797,'All mu burgers had uncooked chicken ','Food Taste',Negative,,,,
798,'It was sour , cold and tasteless also','Food Taste',Negative,,,
799,'10/10 Food Taste','Food Taste',Positive,,,,
800,'Dry patty , buns was not fresh ,& no filling inside','Food Taste',Negative,,
801,'Cream cheese was on point. ','Food Taste',Positive,,,,
802,'Taste: 10/10','Food Taste',Positive,,,,
803,'One of the delicious biryani i ever had','Food Taste',Positive,,,,
804,'Properly Filled with topping, tasty','Food Taste',Positive,,,
805,'The sauce and cheese were making it more yummy.','Food Taste',Positive,,,,
806,'It has only a single layer of cheese at the top just','Food Taste',Negative,,,,
807,'Moist chocolaty layer in the middle.Yummy','Food Taste',Positive,,,,
808,'Blast ','Food Taste',Positive,,,,
809,'Amazing taste','Food Taste',Positive,,,,
810,'I have never tried something this delicious!! ','Food Taste',Positive,,,,
811,'The perfect balance of spice , it was absolutely fresh','Food Taste',Positive,,,
812,'Fries were too oily','Food Taste',Negative,,,,
813,'Pasta was so bad tasteless','Food Taste',Negative,,,,
814,'Too yummy','Food Taste',Positive,,,,
815,'The best in taste','Food Taste',Positive,,,,
816,'Tasty biryani and extremely hygienic ','Food Taste',Positive,,,,
817,'It was quite different yet tasty.','Food Taste',Positive,,,,
818,'The best calzone i have ever had ','Food Taste',Positive,,,,
819,'I love it 10/10','Food Taste',Positive,,,,
820,'Oily and burn fries','Food Taste',Negative,,,,
821,'The food was absolutely delicious','Food Taste',Positive,,,,
822,'The churros were absolutely fresh & yum','Food Taste',Positive,,,,
823,'Best best full of chocolate','Food Taste',Positive,,,,
824,'The chicken was really hard and tasteless!','Food Taste',Negative,,,,
825,'Hundred out of hundred','Food Taste',Positive,,,,
826,'Highly recommended','Food Taste',Positive,,,,
827,'Smelled awful. Seems like somebody fried it in diesel','Food Taste',Negative,,,,
828,'Tastiest eclairs i ever had in my entire life','Food Taste',Positive,,,,
829,'Pizza was delicious and filled with cheese','Food Taste',Positive,,,,
830,'Fries were too much spicy','Food Taste',Negative,,,,
831,'The chicken was juicy, tender and crispy','Food Taste',Positive,,,
832,'I have never had this much delicious pasta ever','Food Taste',Positive,,,,
833,'Cream not found. Disappointed','Food Taste',Negative,,,,
834,'I could smell the rotten chicken and the old bun ','Food Taste',Negative,,,,
835,'Cravings satisfied! Mouth watering food','Food Taste',Positive,,,,
836,'Very bad quality of pizza . Not enough cheese','Food Taste',Negative,,,,
837,'I think they added old herbs so pasta was bitter','Food Taste',Negative,,,,
838,'The best pizza fries in town ','Food Taste',Positive,,,,
839,'My personal favourite','Food Taste',Positive,,,,
840,'Excellent taste and quality of food','Food Taste',Positive,,,,
841,'the food is making us crazy for its taste','Food Taste',Positive,,,,
842,' the taste is really good','Food Taste',Positive,,,,
843,'it contained a patty stuffed with a creamy sauce that tasted like alfredo sauce, perfect for alfredo pasta cravers','Food Taste',Positive,,,
844,'Best delicious food ','Food Taste',Positive,,,,
845,'No doubt it was so yummy! I am a die hard pasta lover and was very much impressed.','Food Taste',Positive,,,,
846,'OMG! Its really worth eating','Food Taste',Positive,,,,
847,'The most amazing burger','Food Taste',Positive,,,,
848,' It was super juicy and hell amazing!','Food Taste',Positive,,,,
849,'The burgers are very  good','Food Taste',Positive,,,,
850,'We admired the taste, freshness and hygiene,','Food Taste',Positive,,
851,'Excellent food','Food Taste',Positive,,,,
852,'Best Borast in Karachi','Food Taste',Positive,,,,
853,'My personal favourite','Food Taste',Positive,,,,
854,'The sauce and cheese were making it more yummy.','Food Taste',Positive,,,,
855,'The food was absolutely delicious','Food Taste',Positive,,,,
856,'Awsome taste and service was also good','Food Taste',Positive,,,,
857,'Best pizza in town','Food Taste',Positive,,,,
858,'The taste was so delicious and juicy too.','Food Taste',Positive,,,,
859,'Different flavours like others biryani.','Food Taste',Positive,,,,
860,'The aroma of flavours were excellent..','Food Taste',Positive,,,,
861,'The burgers were absolutely great','Food Taste',Positive,,,,
862,'Burgers were tasty, juicy and delicious. ','Food Taste',Positive,,,
863,'Burgers were tasty, juicy and delicious. ','Food Taste',Positive,,,
864,'I Tried their chicken cheese burgers and it was too saucy,fresh ','Food Taste',Positive,,,
865,'Specially chicken patty was too yummy ','Food Taste',Positive,,,,
866,'Quality 10/10','Food Taste',Positive,,,,
867,'Great Taste.','Food Taste',Positive,,,,
868,'Properly Filled with topping, all flavours were different from other','Food Taste',Positive,,,
869,'It was quite different yet tasty','Food Taste',Positive,,,,
870,'Sandwiches flavours  were too good','Food Taste',Positive,,,,
871,'Their coconut ice-cream is sooooooo good','Food Taste',Positive,,,,
872,'It was so good at taste and decorated so nice i loved it','Food Taste',Positive,,,,
873,'Food was amazing','Food Taste',Positive,,,,
874,'Presenting you a unique version Biryani','Food Taste',Positive,,,,
875,'Delicious hygiene food','Food Taste',Positive,,,,
876,'Super soft donuts ','Food Taste',Positive,,,,
877,'This tasty Tawa Pizza, and trust me it is something beyond delicious ','Food Taste',Positive,,,
878,'It was too yummy and delicious','Food Taste',Positive,,,,
879,'The food was absolutely delicious','Food Taste',Positive,,,,
880,'The food was hot and fresh ','Food Taste',Positive,,,,
881,'Awesome quality of flavoured','Food Taste',Positive,,,,
882,'One of my favourite Dine-in of all time! ','Food Taste',Positive,,,,
883,'The taste is so amazing','Food Taste',Positive,,,,
884,'Tasty bites','Food Taste',Positive,,,,
885,'awesome Burgers','Food Taste',Positive,,,,
886,'100°\% correct','Food Taste',Positive,,,,
887,'The most amazing burger','Food Taste',Positive,,,,
888,'The burgers are very  good','Food Taste',Positive,,,,
889,'The cheesy tikka pasta was good as well according to the price. ','Food Taste',Positive,,,,
890,'Club sandwich was good too','Food Taste',Positive,,,,
891,'Loved every bite of the beef double patty burger','Food Taste',Positive,,,,
892,'Taste was so delicious','Food Taste',Positive,,,,
893,'Nice presentation, excellent taste and quality of food.','Food Taste',Positive,,,
894,'The chopsuey served to us was soggy and not at all delightful. ','Food Taste',Negative,,,,
895,'They were simply bathing in oil. They looked disgusting','Food Taste',Negative,,,,
896,' has very less sauce on it ','Food Taste',Negative,,,,
897,'is not well Done way hard and tough','Food Taste',Negative,,,,
898,'the only dish which was good','Food Taste',Positive,,,,
899,'taste less','Food Taste',Negative,,,,
900,'It was awful filled with 5 pc of little chicken and tons of veggies highly dissatisfied.','Food Taste',Negative,,,,
901,'It is the best on their menu','Food Taste',Positive,,,,
902,'It had a unique pizza like taste','Food Taste',Positive,,,,
903,'a bit spicy for Me but the sauce served with it balanced the flavours.','Food Taste',Positive,,,,
904,'they do have a very good taste.','Food Taste',Positive,,,,
905,'It is the best of spicy broast available. You can taste the spices to the very core of the broast','Food Taste',Positive,,,,
906,'it had one of the thickest burger I have seen.','Food Taste',Positive,,,,
907,' they were both brilliant','Food Taste',Positive,,,,
908,'Honestly, best fricking pizza I’ve had in forever.','Food Taste',Positive,,,
909,'the toppings were fresh and the crust was perfect. ','Food Taste',Positive,,,,
910,'it was the winner for me.','Food Taste',Positive,,,,
911,'the chicken was moist, the sauce was of a generous serving size, followed by some sautéed veggies and a piece of bread on the side.','Food Taste',Positive,,
912,'surprisingly were very yummy, I really wasn’t expecting them to be that good, they were warm with the right amount of chicken and mushrooms.','Food Taste',Positive,,
913,'that was just amazing, soft and just cooked to perfection.','Food Taste',Positive,,,
914,'Perfect blend of tikka flavour with lots of cheese n little bit spicy','Food Taste',Positive,,,,
915,'Well this is the king of all i tried perfect sauce and proper blend of the authentic spices.','Food Taste',Positive,,,,
916,'This was also good','Food Taste',Positive,,,,
917,'Authentic taste the chaat was delicious. ','Food Taste',Positive,,,,
918,'the gappas were crisp and fresh','Food Taste',Positive,,,,
919,'The best khausa I have ever tried highly recommended it had the warmth of homemade food which was the best part.','Food Taste',Positive,,,,
920,'The tea was simply  big NO','Food Taste',Negative,,,,
921,'we were informed that gol gappay would TAKE TIME!! (not Served)','Food Taste',Negative,,,,
922,'The glasses were not even filled half.','Food Taste',Negative,,,,
923,'Overall the pasta, red sauce with moist chicken olives was good but seasoning cud have been better cuz i have had better !','Food Taste',Positive,,,
924,' Firstly the fish was really fresh and good quality but again the seasoning cud have been better','Food Taste',Positive,,,,
925,'the best i have','Food Taste',Positive,,,,
926,'The buns were fresh and light,the other components were crunchy,succulent and had a perfect balance of flavours.','Food Taste',Positive,,
927,'The creamy chicken bun was creamy, light and velvety and the chicken tikka bun had the flavour reminiscent of smoke.','Food Taste',Positive,,,
928,'The pizza was as good as any other pizza joint. The flavours were in perfect harmony ','Food Taste',Positive,,,,
929,'It was airy,crramy and rich in flavour. The chicken was in perfect texture.','Food Taste',Positive,,,
930,'it was yum.','Food Taste',Positive,,,,
931,'oh my my the mighty sight of it was so filling..','Food Taste',Positive,,,,
932,'it was very economical and yet so delicious','Food Taste',Positive,,,,
933,'Their coconut ice-cream is sooooooo good and so is the pasta. Actually, the wings too. Will defo go again to try the steaks and panini.','Food Taste',Positive,,,
934,'pizza made on sheermal, fazool kacha se dough without any topping no chicken at all.','Food Taste',Negative,,,
935,'  very impressed by the service delivered food on time ',Service,Positive,,,,
936,'It was delivered on time.',Service,Positive,,,,
937,' hot fresh food','Food Taste',Positive,,,,
938,'Fast service on time delivered taste is very excellence.',Service,Positive,,,,
939,'Delivered on time also delivery boy had follow all sops.',Service,Positive,,,,
940,'DeIivered on time or free no extra charges.',Service,Positive,,,,
941,'To much yammmy or service to much fast.',Service,Positive,,,,
942,'The delivery was timely and all ingredients were fresh try please.',Service,Positive,,,,
943,'Fast service or to much delicious and tasty BBQ',Service,Positive,,,,
944,'To much fast service on time delivered.',Service,Positive,,,,
945,'Amazing food plus on time delivery.',Service,Positive,,,,
946,'Perfect size most important delivery was on time.i like so much ',Service,Positive,,,,
947,'Taste was perfect very very fast service',Service,Positive,,,,
948,'buns were fresh','Food Taste',Positive,,,,
949,'Delivery was on time',Service,Positive,,,,
950,'The biryani was good ','Food Taste',Positive,,,,
951,'service is to much good',Service,Positive,,,,
952,'  Perfect time delivery also taste is so much delicious I can not explain it',Service,Positive,,,,
953,'Service is not good ',Service,Positive,,,,
954,' pasta tasty to much','Food Taste','Negative ',,,,
955,'It was loaded with rich flavors and fries were fresh & crispy too. Taste: 9/10','Food Taste',Positive,,,,
956,'Delicious yummy and tasty ','Food Taste',Positive,,,,
957,'on time delivery',Service,Positive,,,,
958,'Yummy BBQ ','Food Taste',Positive,,,,
959,'plus delivery so fast I am very impressed on time delivered.',Service,Positive,,,,
960,'service not good.',Service,'Negative ',,,,
961,'Delivered food right on time ',Service,Positive,,,,
962,'zinger was  fresh  good quality','Food Taste',Positive,,,,
963,'They delivered it at exact time they gave me',Service,Positive,,,,
964,'Service is not good poor cutomer service','Food Taste','Negative ',,,,
965,' taste it was amazing ','Food Taste',Positive,,,,
966,'On time delivery area wise',Service,Positive,,,,
967,'Very bad service first time I have order but very very bad service ',Service,'Negative ',,,,
968,'Quality plus service is perfect.',Service,Positive,,,,
969,'Literally it was so much delicious','Food Taste',Positive,,,,
970,'on time delivery  ',Service,Positive,,,,
971,'please try her cake to much yummy','Food Taste',Positive,,,,
972,' amazing on time delivery area wise  ',Service,Positive,,,,
973,'Exelence service or good taste',Service,Positive,,,,
974,'Perfect service Delicious to much not explain try it plz.',Service,Positive,,,,
975,'Service timing perfect',Service,Positive,,,,
976,'Delivery not on time waste time ',Service,'Negative ',,,,
977,'Taste yumm','Food Taste',Positive,,,,
978,'I like food in service every people easily order.',Service,Positive,,,,
979,'Area wise delivery time but perfect taste ',Service,Positive,,,,
980,'Right time delivery  ',Service,Positive,,,,
981,'10/ 10 for the delivery the price of the restaurant are best ',Service,Positive,,,,
982,' Good taste delivery plus quality is very good',Service,Positive,,,,
983,'Taste was awesome.','Food Taste',Positive,,,,
984,'Reasonable price 10/10 ','Value of Money',Positive,,,,
985,'delivery timing was good',Service,Positive,,,,
986,'Exact time delivered Food ',Service,Positive,,,,
987,' fresh n tasty.','Food Taste',Positive,,,,
988,'Food was delicious on time delivery 10/10',Service,Positive,,,,
989,' Arrived on time I like this service.',Service,Positive,,,,
990,' Tasteful or on time delivered.',Service,Positive,,,,
991,'price  is reasonable for all type of people.','Value of Money',Positive,,,,
992,'Service time is also perfect I was received my order on time  ',Service,Positive,,,,
993,' Average Price ','Value of Money',Positive,,,,
994,'to much delicious.','Food Taste',Positive,,,,
995,'Arrived on time',Service,Positive,,,,
996,'Worst customer service',Service,'Negative ',,,,
997,'Disappointed delivery not right time but to much yummy food.',Service,'Negative ',,,,
998,'Ordered two of their buns, a pizza bun and a fajita bun. Overall experience was good','Food Taste','Positive ',,,
999,'I happened to come across a mini setup called Street Cafe at Soldier Bazar No.3... and was blown away by how much flavour each thing I ordered had.','Food Taste',Positive,,,,
1000,'Highly recommended, whether you\'re a Lebanese Cuisine for or not!','Food Taste',Positive,,,
1001,'Delicious taste, good quality, cheese and meat were in proper proportions','Food Taste','Positive ',,
1002,'Good place to have breakfast.','Food Taste',Positive,,,,
1003,'We were surprised to see over a 100 dishes in the menu ranging from Italian to Continental to BBQ. The food was too delicious we took suggestions from Manager. Complimentary crackers were served as soon as we were seated. ','Food Taste','Positive ',,,,
1004,'All the dishes were so awesome nicely cooked right amount of spices and kick of flavour.','Food Taste',Positive,,,,
1005,'Prawn Karhai was too spicy Loved it!! Prawn Biryani was good will definitely order again.','Food Taste',Positive,,,,
1006,'Agreed the Customer service got bad reviews ',Service,Negative,,,,
1007,' honestly their food is really good.','Food Taste','Positive ',,,,
1008,'The iftari platter could be more exciting the Chicken Alfredo  was delightful. I loved the white sauce. ','Food Taste','Positive ',,,,
1009,'Disappointed with Masala Dossa it was too oily, Sambar was quite salty . The standard of the Dossa\'s at Chatkharay have definitely plummeted.','Food Taste','Negative ',,,
1010,'Food was good but their was hair in the dish','Food Taste','Positive ',,,,
1011,'they did not entertain the complaint',Service,Negative,,,,
1012,'Deliver on time nicely wrapped',Service,Positive,,,,
1013,'tasted awesome','Food Taste',Positive,,,,
1014,' Best value for money, Well Done!!','Value of Money',Positive,,,
1015,'These were so delicious highly recommended!!','Food Taste',Positive,,,,
1016,'The breakfast was so yummy.','Food Taste','Positive ',,,,
1017,'Tried first time but yes it was on the top.','Food Taste',Positive,,,,
1018,'Taste 10/10, Service is also good. But not served hot due to delivery but its ok ','Food Taste',Positive,,,
1019,'I love the food, worth eating at Kababjees','Food Taste','Positive ',,,
1020,' service was also good. Highly recommended.',Service,Positive,,,,
1021,'Highly recommended...Quantity 10/10 Taste 10/10','Food Taste','Positive ',,,,
1022,'Not recommended!! I have better soups in other restaurants','Food Taste',Negative,,,,
1023,'Enjoyed Chicken Makhni Handi at Hot n spicy... So yummy.','Food Taste','Positive ',,,,
1024,'Must try people worth place to go.',Other,'Positive ',,,,
1025,'Great place...Taste 10/10','Food Taste','Positive ',,,,
1026,'I love the taste... Highly recommended.','Food Taste',Positive,,,,
1027,'The place was nice and clean',Ambience,Positive,,,,
1028,'service was also good',Service,Positive,,,,
1029,' coffee was best.','Food Taste',Positive,,,,
1030,'Taste was so good.. highly recommended.','Food Taste',Positive,,,,
1031,'The meal has caused me and my husband terrible suffering from food poisoning. Highly disappointed with the low ','Food Taste',Negative,,,,
1032,'Enjoying drizzling with this samosa.',Other,Positive,,,,
1033,'Food 10/9','Food Taste',Positive,,,,
1034,'Price 10/9 according to quantity','Value of Money',Positive,,,,
1035,'service 10/10, Cashier or owner is too good.',Service,Positive,,,
1036,'I am just very happy with the service  and the drinks quality.','Food Taste','Positive ',,,,
1037,'The pizza was so mouth watering and delicious, the topping ','Food Taste',Positive,,,
1038,'The hype was rightThey have different menu. Love the food.','Food Taste',Positive,,,,
1039,'The food was surprisingly delicious and the service was pretty prompt.','Food Taste',Positive,,,,
1040,'I recommend you all as they have super cool and very very economic packages for your small get together with a nice complimentry decorations',Service,Positive,,,,
1041,'Overall Food 9/10 ','Food Taste',Positive,,,,
1042,'Service 10/10.',Service,Positive,,,,
1043,'Bunless burger was interesting but the Cheese Poppers were great.','Food Taste',Positive,,,,
1044,'They have improved their environment along with better cooling but the burgers wese same as before, delightful to the taste buds.','Food Taste',Positive,,,
1045,'Best Pizza Paratha in city, filled with too much stuff that\'s I need always.','Food Taste',Positive,,,
1046,'Food quality 10/3. Not recommended!!','Food Taste',Negative,,,,
1047,'Good food.','Food Taste',Positive,,,,
1048,' Value for money, 50\% off on second entire.','Value of Money',Positive,,,
1049,'Perfect flavour...Very impressive ','Food Taste',Positive,,,,
1050,'Best pizza fries ever. Burgers were juicy, soft and cheesy too.','Food Taste','Positive ',,,
1051,'Wonderful experience, Taste 10/10.','Food Taste',Positive,,,
1052,'Every thing from ambiance to their taste to there presentation of food was beyond good.','Food Taste','Positive ',,,,
1053,'Burger was so yummy... highly recommended.','Food Taste','Positive ',,,,
1054,'Taste was so up to the mark.','Food Taste','Positive ',,,,
1055,'Ambiance 10/10',Ambience,Positive,,,,
1056,'Quality of Food 10/10','Food Taste','Positive ',,,,
1057,'Place 10/10, Service 10/10.',Service,'Positive ',,,
1058,'Quantity is good, Topping is just like pizza. ','Food Taste','Positive ',,,
1059,'Burger was juicy and crispy enough to make your cravings satisfied.','Food Taste',Positive,,,,
1060,'Food was amazing, very nice ambiance and service was good too.','Food Taste',Positive,,,
1061,'Taste 3/10 Price vs Quantity 0/10, Recommendation A BIG FAT NO, Tasteless Icecream and tasteless Buns','Food Taste','Positive ',,
1062,'they are not serving good','Food Taste','Negative ',,,,
1063,'Its sad we cant dine at our fvt resturants but thry bring right to your home & gives you the closest experinence',Ambience,Positive,,,,
1064,'Not much good','Food Taste','Negative ',,,,
1065,'Pathetic service',Service,'Negative ',,,,
1066,'BROADWAY PIZZA CUSTOMER SERVICE REST IN PEACE.. PATHETIC.',Service,'Negative ',,,,
1067,'LESSON LEARNEd NEVER PAY ONLINE ANYWHERE IN PAKISTAN','Value for Money','Negative ',,,,
1068,'Worst food ever ','Food Taste','Negative ',,,,
1069,' I ordered a Red Velvet Cake from Kebabjees Bakers yesterday. The cake was extremely sweet in taste. Whatever flavour it had was masked by the sweetness','Food Taste','Negative ',,,,
1070,'Ordered from The Eatery. Worst experience ever! I ordered pizza fries, zinger burger and their so called spicy crispy chicken which wasnt spicy at all','Food Taste','Negative ',,,
1071,' A big bite was already taken from my sub when I opened it. Bad Food',Service,'Negative ',,,,
1072,' I got their mughlai chiken burger and hot garlic mayo fries,spent1040/-and their fries were cold and hard too.','Value for Money','Negative ',,,
1073,'Exactly i ordered family box last night it was pathetic.All burgers were burnt and fries were uncooked ! Highly disappointed by them',Service,'Negative ',,,,
1074,'Exactly i ordered family box last night it was pathetic.All burgers were burnt and fries were uncooked ! Highly disappointed by them',Service,'Negative ',,,,
1075,'So few days back I ordered from Broadway Pizza but they cancelled my order, saying that my society is outside their trade area. Although I used to order at the same address and society adjacent to our society is PCSIR Society, which is literally like 50-70 feet away from my house, is listed on their website as area, they deliver at PCSIR Society but stop delivery at my society suddenly.',Service,'Negative '
1076,'I ordered then from Star Pizza Pakistan and it was not very good, cheese and pizza sauce should have been better but it was value for money for sure. And it tasted better second time around when I heated it on pan with little olive oil.','Value for Money','Negative ',,,
1077,'Mujahid Foods best zinger only in Rs:120','Value for Money','Negative ',,,,
1078,'Finally received these banana chips! Took a week to deliver but worth it... A bit over priced as well','Value for Money','Negative ',,,,
1079,'No doubt delivered hot n had alot of chicken but tasteless','Food Taste','Negative ',,,,
1080,'Worst Taste','Food Taste',Negative,,,,
1081,'Taste was also not good and quantity was also not good','Food Taste','Negative ',,,,
1082,'Full marks for their service , but we visited on a wrong day',Service,'Negative ',,,
1083,'a deal for getting 2 steaks in 999rs but there was no as such deal, the quantity was poor, Even when I called the waiter, he was very non interested into providing required services, worst experience ever',Service,'Negative '
1084,'but was so much disappointed by the food quality and service, I went there at 4 pm, restaurant was totally empty, but still all the tables were dirty',Service,'Negative ',
1085,'the most unexpected disappointed',Service,'Negative ',,,,
1086,'have good interior with very bad service',Service,'Negative ',,,,
1087,'Dear subway, thankyou for ruining our celebration ',Service,'Negative ',,,
1088,'The cake was damage and low service ',Service,'Negative ',,,,
1089,'I decided to commit a mistake',Service,'Negative ',,,,
1090,'stale and inedible',Service,'Negative ',,,,
1091,'Poor food quality and taste','Food Taste',Negative,,,,
1092,'It was not cheesy anymore full of ketchup and mayo','Food Taste',Negative,,,,
1093,'I ordered a kiwi mojito and I didn’t really like the taste so they customised it','Food Taste',Negative,,,,
1094,'Food quality 10/3. Not recommended','Food Taste',Negative,,,,
1095,'TERRIBLE not worth it','Value of money',Negative,,,,
1096,'we just waste 1680 rupees for no good','Value of money',Negative,,,,
1097,'The food wasnot even good','Value of money',Negative,,,,
1098,'Pathetic service and worst pizza ever ','Value of money',Negative,,,,
1099,'recent trip to Vintage did not go as planned','Value of money',Negative,,,,
1100,'Worst Experience this time with Pizza Max.','Value of money',Negative,,,,
1101,'Poor food quality Very disappointed ','Value of money',Negative,,,,
1102,'I paid 937 for half chicken very disappointed','Value of money',Negative,,,,
1103,'the experienced was really terrible','Value of money',Negative,,,,
1104,'very extremely spicy and salty I wasted Rs.1400','Value of money',Negative,,,,
1105,'Worth Money 3/10','Value of money',Negative,,,,
1106,'We expect atleast a decent amount of fries even the thela walas give more fries in 50 rupees.Highly disappointed','Food Taste',Negative,,,,
1107,'Recently I have ordered ginsoy as I was craving for some good Chinese food and c what I have got...some oily curry which has only spice, oil wd no taste..','Food Taste',Negative,,,
1108,'It is just v fancy and firstly you’re gonna get a hard chocolate shell.. then you’re going to dig in with some high expectations and all you’ll get is some flavourless vanilla ice cream with lots of coconut with absolutely no naamonishaan of brownie. Overall 5/10 ','Food Taste',Negative,,,,
1109,'I just got food from OPTP. The thing i ordered was this and what i got was this. I got their mughlai chiken burger and hot garlic mayo fries,spent1040/-and their fries were cold and hard too.highly dissapointed','Food Taste',Negative,,,
1110,'Being a biryani lover, heard a lot about hajibiryani so gave it a try. Not worth the hype. Average street biryani. ','Food Taste',Negative,,,
1111,'worse golgappay','Food Taste',Negative,,,,
1112,'pizza point no resonse','Food Taste',Negative,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
?,?,?,?,,,,
